id,text,sarcastic,rephrase,dialect,Texte_traduit
1,ضبط شخص بدبلوم انتحل صفة طبيب بلد مافيش حد فيها بيشتغل بشهادته,1,شخص ينتحل صفة طبيب ويفتتح عيادة فى بلد فاشلة ضاعت فيها الرقابة ,nile,شخص حاصل على دبلوم قام بانتحال شخصية طبيب ريفي لم يستول على أي حد للعمل مع شهادته
2,مش معنى انك قولتلى رايك يبقى أنا هعمل بيه طب افرض انت حمار استحمر أنا كما زيك,1,مش لازم دائما اعمل برأيك,nile,هذا لا يعني أنك قلت لك ، رأيك ، سأعمل معها.
3,اية المهلبية دي يصحبي,1,ما هذا الجمال,nile,ما هو الحلوى؟
4,الحديث قياس فيه الفضة و فيه النحاس,1,لسانك ترجمان قلبك,magreb,يتم قياس الحديث بالفضة وهو النحاس فيه
5,ده فاكر نفسه باشا و بيه كمان,1,ده مغرور و شايف نفسه علىالناس,nile,هذا يفكر في باشا ، وهو أيضًا كمان
6,حامل في السادس وماكنتش ملاحظ ده قبل الجواز طب وبالنسبة لليلة الدخلة.,1,انت مغفل وتزوجت إمرأة حامل ولم تلاحظ,nile,حامل في السادس ، وليس هناك ملاحظة قبل جواز السفر ، وللليلة من الدخول.
7,الدنيا عاملة زى اوضة وصالة كل ما امشى فى حته الاقى ايمن فى وشى,1,الدنيا صغيرة ودايما نلاقى فيها حد نعرفه,nile,يعمل العالم كأسلوب وقاعة كل شيء أمشي فيه أكثر صوابًا أنت فيه
8,مهما دورت ولفيت عمرك ما هتلاقي حد يحس بيك غير كرشك,1,محدش هينفعك غير بطنك انما اي حد تاني مش هيحس بيك,nile,أيا كان ما تذهب وحياتك ، فلن تجد شخصًا يشعر بك بخلاف رحلة بحرية
9,فلوس ايه يا امى اللى احوشها من شغلى ده أنا مافيش فلوس اروح الشغل بكره,1,مرتبى قليل ومش معايا فلوس حتى المواصلات للشغل,nile,ما هي والدتي ، التي حزن عليها من عملي
10,وراء كل رجل عظيم امراه تقول له انت لست عظيما,1,المراه تحاول احباط زوجها وهو بمنطلق العند يحاول ان يكون عظيما,msa,وراء كل رجل عظيم ، تقول له امرأة ، أنت لست رائعا
11,نفسي افهم مين الي نزل الكائن ده كتالوج الحريم,1,دى وحشة أوى علشان تبقي فى المجلات ومشهورة,nile,أفهم من هو الشخص الذي ينحدر من هذا الكائن.
12,سنة أغسطس بيكون فيها فجوة زمنية مجهولة الأيام بتبقى تصاعدي ليوم 15 وترجع تنازلي تاني ليوم 15,1,شهر اغسطس يبدو طويلا جدا,nile,سيكون لدى عام أغسطس فجوة زمنية غير معروفة لا تزال تصعد إلى اليوم الخامس عشر وتعود إلى يوم آخر لليوم الخامس عشر
13,اللصوص مفيش اتعس منهم الناس قاعدة في البيوت ولو حبوا يتوبوا فالمساجد مقفولة,1,الكرونا وقفت حال اللصوص,nile,اللصوص لا يمتلكون أشخاصًا بائسين منهم كقاعدة في المنازل ، وإذا كانوا يحبون التوبة ، فسيتم قفل المساجد
14,اللي تعرف ديته اقتله,1,حاول ان تجد نقاط ضعف خصمك,nile,ما تعرفه هو قتله
